source,target
1245,58224
1271064,3
3,4242581
1331,565361
175082,52057
19189,89289
4854318,8655
1331,2461
1019,4464
1230729,13301
1331,2832865
1037108,1736
4300035,8655
334719,58828
14320,65552
1107983,2954
496175,89289
1245394,9893
1731075,7202
3087,3096
18471,2975
4301540,74611
100871,14320
2691175,334719
1331,1475104
1245,37421
1245,15556
218366,61810
31649,52057
15899,23659
13301,235437
19742,4764456
1209245,90755
1407495,2007763
15899,9575
110319,3
7083,9893
1348591,5837136
226366,884
13301,77069
94097,97823
1736,59873
2770,8349
19742,5606912
1245,527
13301,6352
1232268,1331
1019,1442701
1736,2463618
1214463,97823
18471,205231
1736,5081
110380,120581
13301,3968156
550106,7202
103853,5399505
1245,1379821
13301,1724902
1181937,3
1736,3952653
1184209,18471
12214,1262612
1245,4870541
1942273,298410
13301,4237
13301,5749273
2,3
1245,41640
1062,9893
518,9893
1331,2082708
107129,13301
4854359,8655
1230027,3
13301,24281
1245,78729
5313730,65717
1245,1442722
3387072,8350
1891350,97823
102792,13301
1675638,1736
5313727,65717
210773,78398
12791,5538
107322,939479
100552,2778
1245,1895760
13301,1590333
15886,15899
2535,52057
14320,73586
1348591,180279
1245,5292
1245,60073
226366,2504660
138988,52057
75131,75711
1245,56689
1739,4017167
6938,884
1036174,2600220
1572550,3
884,8975
1407498,360193
160947,3
1407495,5423531
1245,2260935
1923868,6384
134,1736
2327950,3087
13301,16862
17306,1850834
2975,9372
1671532,532
2106,52057
18471,51944
18471,82754
6885,74611
13023,7202
1447579,57799
18471,4733
1209245,5252349
2922449,9893
1200415,1331
1736,69494
1638233,89289
13301,5682
1525043,65717
17306,3913997
5000211,89289
1410781,8655
89289,91433
1396608,97823
1238842,13301
5657,9893
155549,226366
14320,19454
118372,2542244
7202,8354
2098142,8349
3,650
1110339,13301
1331,4461225
1170892,1736
3197719,532
1102260,2349592
571562,75037
145073,39184
1219688,226366
10750,2778
1073034,1348591
1245,30082
1331,4764494
2231,89289
1201,334719
1010959,107515
42910,8349
1348591,29222
19578,884
11665,1736
13301,1360606
1932093,6384
1542561,75131
19540,571562
1331,235023
226366,7624
226366,81380
1331,4461223
2101514,8655
13301,82756
105866,13301
1091965,2778
226366,4094163
2714,571562
1245,2559822
1240816,23548
3,87744
1271104,3
47877,80874
24278,3
225620,52057
110380,1600272
21860,884
1137185,89289
13301,18500
1107983,58098
1331,972356
13301,1573387
144988,97823
1245,452205
1979,884
1642831,7202
1130205,334719
226366,587506
18471,78303
3087,69948
13301,2727155
1245,62050
571562,75039
218366,2975
107322,2412920
1331,1371
1411149,15899
571562,81382
1019,1442704
13301,3797471
2975,884
1407495,76669
1920041,3173
4495,74611
1240816,4741912
1331,37625
1091580,12214
1245,1517836
1315492,89289
1331,139780
3,55892
1292492,1736
1107983,555311
2134511,298410
4301594,74611
210773,32203
14320,77133
1263216,89289
103835,8349
2975,38803
7202,8349
14837,74611
1019,1440936
117470,1348591
107322,1296567
1757777,2975
1736,19453
3084,7202
1331,4764496
3,30848
2098140,8349
1229839,3
1331,2082666
1019,1442696
3,491
1331,67134
2334693,52057
1107983,154068
1416398,3
1407498,2791510
1416396,226366
1676797,18471
11059,2778
2484940,349
240,8655
1131514,2778
2557249,39545
1407498,1735828
118372,1218648
13301,947
1331,8682
1331,1709868
1331,1961636
1251847,78576
75131,9827
1331,4764471
19742,5413755
143346,571562
566294,7202
162754,3173
8350,9885
1503033,3087
216140,448526
110380,5287078
13301,2338789
31661,8349
65553,69900
110380,3469323
1299481,1407498
107515,3593561
226366,2551677
3391,884
1776,3097
2975,8351
18471,4344213
1245,2768431
112490,13301
1292489,1736
1240816,30315
1402117,7202
119598,15899
1209294,3087
12214,39187
15899,52997
4854326,8655
3,4515
1292481,1736
1821863,226366
18471,2482
1331,173431
1243844,13301
10437,226366
1292475,1736
1245,1760879
3,7908
1736,61510
138031,97823
12214,82639
1493736,1736
3387076,8350
1049119,13301
1271065,3
1736,20805
1195748,1736
13301,77271
57755,6384
2268673,9893
1331,4937
214910,2778
3084,4053943
126072,3087
107322,1269275
3107001,74611
1082853,2778
5313737,65717
1729623,3
1280248,1331
1245,82929
1223721,89289
1776,2871
11184,3
19044,7202
1779261,8349
1331,1361093
1245,4870556
349,38570
59410,74611
1736,2767277
1223614,74611
2101517,8655
1245,41505
13301,77070
52057,76519
107322,1519727
14320,3345420
107322,939091
1723194,89289
14320,68606
13301,3435337
2175140,3
5195317,89289
1121193,19742
97823,98451
16119,52057
1292493,1736
110380,74266
185986,3
45581,540520
2524496,65717
3,739
1083010,1245
1407498,64181
15899,57119
1331,4461199
23628,89289
13301,3968171
1107983,3034740
334719,68652
1624860,2778
18471,1861185
15761,571562
10138,18471
2975,31383
1407495,4701821
12214,1240816
13301,1360467
18471,74036
1245,231713
12214,4886
1407498,2495669
107322,1631044
18746,884
1109702,226366
1736,934281
12214,2388
107322,1208617
1107983,1120760
1572549,3
15659,3087
16563,8655
1174002,884
2975,7202
18471,1947524
3173,6905
1112872,1331
1290647,19742
1213795,3087
3563647,65717
1107983,87769
3087,3091
160728,3087
1036174,5130344
13301,1698449
4301535,74611
4854310,8655
1736,38582
2975,57799
118372,4425463
26495,65717
1245,12898
1072039,884
1117799,31309
1174007,884
3206,884
1212913,52057
1792851,226366
1633566,75131
1454295,89289
181454,2778
532,535
1776,63714
145151,334719
13301,3796012
2749,2778
1183419,2778
118372,85757
107322,173450
52603,8655
3,3847917
1331,2155635
19742,5413780
235727,80874
18471,40462
51962,89289
1245,1767250
1003792,1245
1098091,13301
66606,89289
18471,56322
16752,17306
121718,226366
1736,4370527
1331,3052
1331,3232671
226366,2306593
1990682,226366
226366,2504641
13301,3778980
145073,2975
3087,5048
1175746,3173
1297252,210773
3532149,52057
110380,4131066
33162,89289
13301,927850
1292480,1736
1036174,2312162
1736,4544330
15413,1739
45216,57799
3087,99846
1280988,52057
2922447,9893
39545,5037939
4226014,74611
118372,4425476
1107983,3386836
15899,81200
1002674,13301
1910991,2778
154583,1736
2684405,89289
1551615,1736
1367239,65717
1407486,15899
1331,2652031
1331,2089079
10090,19742
2025047,97823
1674603,18471
1107983,1784778
2778,7202
12214,47404
15328,6384
107322,1287835
1245,69597
2778,522
3,58475
1776,648
1736,565498
103853,120939
226366,4094227
230252,2778
1331,2082669
1962692,226366
20128,3
13301,2192580
2101508,8655
12890,1407498
3173,7675
3087,3174
1331,1340023
161354,97823
108177,3173
18471,2191245
1245,88966
2101524,8655
1213364,15899
1453790,226366
19742,5413761
1245,1727276
1212478,3084
1271068,3
54967,80874
1331,1947882
154917,3173
1503041,3087
3600050,65717
1245,7796
149277,7202
13301,154783
226366,87363
18471,4344222
18471,1933049
2075486,74611
1271069,3
137386,884
8655,8671
2075485,74611
145073,20947
1107983,2102588
1245,234806
118372,3991425
228,65717
103853,5399494
1331,2231244
66586,89289
1107983,1214281
1127164,97823
13301,3435340
13301,13567
23628,2975
1348591,5837133
27742,3173
1736,47859
30487,8655
19742,2489177
1107983,1230070
212562,9380
2778,938895
2101527,8655
103853,5399499
1357865,884
3084,3417
18471,204711
1019,1353300
15899,67773
152727,3
2274016,884
1348591,3814905
171297,226366
13301,1724903
1776,2556
2539012,57799
226366,62863
13301,37935
126901,13301
1331,9380
7071,9893
226366,2842817
1739,58649
107515,42694
190453,3
23548,5406947
6108,8349
13301,974494
2048523,97823
2975,97823
1736,2781676
104458,97823
3,664
226366,78320
11321,8655
1331,1372
107515,22227
145073,145076
1245,1979176
1245,2267329
1532851,2975
13301,1789249
31266,8349
2101519,8655
1245,234805
1331,1373
1331,2082662
226366,2505692
1445768,226366
3084,47775
1271070,3
2782,3
15358,3
1088980,65553
103853,27547
1736,1765916
17696,226366
6937,884
3087,3333
168320,1739
1048002,13301
2277,8350
1107983,4359001
3,690
1209249,2975
12214,2234003
1245,17605
3173,78396
1331,2858189
1106335,2778
1120457,97823
12214,17199
1776,7087
1671758,97823
1217265,1245
54433,8655
24937,74611
2450276,97823
1219050,89289
1245,13309
107515,1367620
13301,3288076
1331,2082756
2818046,8349
1331,1628130
1331,2082771
181214,2975
13301,2597433
13301,4347
3563646,65717
3,3392
